guid,country name,country borders,tags,map,country info,country border info
n)[~Z}}S*F,Senegal,"Mauritania, Guinea-Bissau, Mali, The Gambia, Guinea","UG::Africa, UG::Sovereign_State, UG::West_Africa","<img src=""ug-map-senegal.png"" />",,
oqr|uA[UlY,Serbia,"Albania, Romania, Montenegro, North Macedonia, Kosovo, Croatia, Bulgaria, Bosnia and Herzegovina, Hungary","UG::Europe, UG::Sovereign_State","<img src=""ug-map-serbia.png"" />",,
o4|fRD-axJ,Sierra Leone,"Guinea, Liberia","UG::Africa, UG::Sovereign_State, UG::West_Africa","<img src=""ug-map-sierra_leone.png"" />",,
AG<kjw/@J{,Sint Maarten,Saint Martin,"UG::Caribbean, UG::North_America","<img src=""ug-map-sint_maarten.png"" />",Constituent country of the Kingdom of the Netherlands.,
lX8)0!.|5J,Slovakia,"Czech Republic, Poland, Hungary, Ukraine, Austria","UG::Europe, UG::European_Union, UG::Sovereign_State","<img src=""ug-map-slovakia.png"" />",,
Cy@ITwpS2O,Slovenia,"Austria, Hungary, Italy, Croatia","UG::Europe, UG::European_Union, UG::Mediterranean, UG::Sovereign_State","<img src=""ug-map-slovenia.png"" />",,
ozGn~4*=;5,Somalia,"Kenya, Ethiopia, Djibouti","UG::Africa, UG::East_Africa, UG::Sovereign_State","<img src=""ug-map-somalia.png"" />",,
p`W=z@l][u,South Africa,"Eswatini, Namibia, Zimbabwe, Mozambique, Lesotho, Botswana","UG::Africa, UG::Sovereign_State","<img src=""ug-map-south_africa.png"" />",,
lMFTX{f(vv,South Korea,North Korea,"UG::Asia, UG::Sovereign_State","<img src=""ug-map-south_korea.png"" />",,
nq.lI%~pc?,South Sudan,"Uganda, Ethiopia, Democratic Republic of the Congo, Kenya, Central African Republic, Sudan","UG::Africa, UG::East_Africa, UG::Sovereign_State","<img src=""ug-map-south_sudan.png"" />",,
psHlU+Bgp`,Spain,"Andorra, Portugal, Morocco, Gibraltar, France","UG::Europe, UG::European_Union, UG::Mediterranean, UG::Sovereign_State","<img src=""ug-map-spain.png"" />",,
E6^*0FSyCo,Sudan,"Egypt, Central African Republic, Chad, Eritrea, Ethiopia, Libya, South Sudan","UG::Africa, UG::Sovereign_State","<img src=""ug-map-sudan.png"" />",,
Jj))kMZvX{,Suriname,"Guyana, French Guiana, Brazil","UG::South_America, UG::Sovereign_State","<img src=""ug-map-suriname.png"" />","",
n3oqCGJJ6f,Sweden,"Norway, Finland","UG::Europe, UG::European_Union, UG::Sovereign_State","<img src=""ug-map-sweden.png"" />",,
kJt/s#S@IF,Switzerland,"Liechtenstein, France, Germany, Austria, Italy","UG::Europe, UG::Sovereign_State","<img src=""ug-map-switzerland.png"" />",,
xb;24ttdck,Syria,"Jordan, Lebanon, Turkey, Israel, Iraq","UG::Asia, UG::Mediterranean, UG::Middle_East, UG::Sovereign_State","<img src=""ug-map-syria.png"" />",,
P;2)#qeEu$,Tajikistan,"China, Uzbekistan, Kyrgyzstan, Afghanistan","UG::Asia, UG::Sovereign_State","<img src=""ug-map-tajikistan.png"" />",,
ci%>8u!5Mn,Tanzania,"Democratic Republic of the Congo, Zambia, Uganda, Rwanda, Mozambique, Malawi, Kenya, Burundi","UG::Africa, UG::East_Africa, UG::Sovereign_State","<img src=""ug-map-tanzania.png"" />",,
tXut{wb9_m,Thailand,"Malaysia, Myanmar, Laos, Cambodia","UG::Asia, UG::Southeast_Asia, UG::Sovereign_State","<img src=""ug-map-thailand.png"" />",,
A&pu*)sm*n,The Gambia,Senegal,"UG::Africa, UG::Sovereign_State, UG::West_Africa","<img src=""ug-map-the_gambia.png"" />",,
J/$@ET`hir,Togo,"Burkina Faso, Ghana, Benin","UG::Africa, UG::Sovereign_State, UG::West_Africa","<img src=""ug-map-togo.png"" />",,
x3vu0cWK*&,Tunisia,"Algeria, Libya","UG::Africa, UG::Mediterranean, UG::Sovereign_State","<img src=""ug-map-tunisia.png"" />",,
FM&e]s0~g5,Turkey,"Azerbaijan, Greece, Syria, Georgia, Iraq, Iran, Armenia, Bulgaria","UG::Asia, UG::Mediterranean, UG::Middle_East, UG::Sovereign_State","<img src=""ug-map-turkey.png"" />",,
QhW-:5nCo+,Turkmenistan,"Afghanistan, Uzbekistan, Iran, Kazakhstan","UG::Asia, UG::Sovereign_State","<img src=""ug-map-turkmenistan.png"" />",,
w0]6.AshO>,Uganda,"Kenya, Tanzania, South Sudan, Rwanda, Democratic Republic of the Congo","UG::Africa, UG::East_Africa, UG::Sovereign_State","<img src=""ug-map-uganda.png"" />",,
KAR!h8TQUP,Ukraine,"Hungary, Romania, Russia, Slovakia, Belarus, Moldova, Poland","UG::Europe, UG::Sovereign_State","<img src=""ug-map-ukraine.png"" />",,
gwTPCi:r!],United Arab Emirates,"Saudi Arabia, Oman","UG::Asia, UG::Middle_East, UG::Sovereign_State","<img src=""ug-map-united_arab_emirates.png"" />",,
HR#vBv/6R},United Kingdom,Ireland,"UG::Europe, UG::European_Union, UG::Sovereign_State","<img src=""ug-map-united_kingdom.png"" />","",
hCR3-ou?11,United States of America,"Mexico, Canada, Cuba","UG::North_America, UG::Sovereign_State","<img src=""ug-map-united_states_of_america.png"" />","",
B^U@R}75ke,Uruguay,"Brazil, Argentina","UG::South_America, UG::Sovereign_State","<img src=""ug-map-uruguay.png"" />",,
N=aJipA!}R,Uzbekistan,"Tajikistan, Kazakhstan, Kyrgyzstan, Turkmenistan, Afghanistan","UG::Asia, UG::Sovereign_State","<img src=""ug-map-uzbekistan.png"" />",,
C|~~`5&#cz,Vatican City,Italy,"UG::Europe, UG::Sovereign_State","<img src=""ug-map-vatican_city.png"" />",,
